date,date1,date2,date3,date4,date5,OT,OT,OT
6.926,6.16326,46.98516,4161.84921,-0.17726,36.58185,7.923941042212172,2.9518765296607308,-28.99999951
6.97075,6.19668,46.9662,4157.46422,-0.17086,36.50805,7.928360260497293,2.9535228047485695,-28.99999951
7.01549,6.23,46.94796,4153.07537,-0.16451,36.43414,7.931953428594282,2.9548613544066407,-28.99999951
7.06023,6.26323,46.93042,4148.68315,-0.15824,36.36014,7.934731055897267,2.955896093660775,-28.99999951
7.10497,6.29637,46.91358,4144.28802,-0.15206,36.28606,7.936705696131467,2.9566316991039265,-28.99999951
7.1497,6.32943,46.89742,4139.89046,-0.14599,36.21189,7.937891901147104,2.9570735916831836,-28.99999951
7.19443,6.36239,46.88193,4135.49093,-0.14004,36.13766,7.938306167844022,2.9572279169277986,-28.99999951
7.23915,6.39526,46.86709,4131.08989,-0.13422,36.06337,7.937966878557075,2.957101522741172,-28.99999951
7.28387,6.42805,46.85289,4126.68779,-0.12854,35.98902,7.93689423530388,2.9567019349064148,-28.99999951
7.32858,6.46074,46.83931,4122.28506,-0.12303,35.91462,7.935110188294258,2.9560373304542287,-28.99999951
7.37329,6.49334,46.82633,4117.88216,-0.11769,35.84018,7.9326383591502365,2.9551165090603413,-28.99999951
7.41799,6.52585,46.81393,4113.47949,-0.11254,35.76571,7.92950395930373,2.9539488626464947,-28.99999951
7.46268,6.55828,46.80209,4109.07747,-0.10758,35.6912,7.925733704066945,2.9525443433694063,-28.99999951
7.50737,6.59061,46.79078,4104.6765,-0.10283,35.61668,7.921355722849626,2.9509134301743356,-28.99999951
7.55205,6.62285,46.77998,4100.27697,-0.09831,35.54214,7.916399466073181,2.9490670941181465,-28.99999951
7.59672,6.655,46.76966,4095.87924,-0.09401,35.46758,7.910895609252042,2.947016762637083,-28.99999951
7.64139,6.68707,46.75981,4091.48368,-0.08996,35.39302,7.904875954796973,2.9447742829659296,-28.99999951
7.68603,6.71907,46.7515,4087.08821,-0.06534,35.39898,7.89712601005289,2.94188722463544,0
7.73062,6.75105,46.74581,4082.6917,-0.04101,35.40496,7.8864477219436475,2.937909281352077,0
7.77516,6.783,46.74272,4078.29583,-0.01703,35.41096,7.87290328847853,2.9328636235108285,0
7.81965,6.81493,46.74216,4073.9023,0.00653,35.417,7.856565485101019,2.9267773618792274,0
7.86408,6.84683,46.74409,4069.51274,0.02961,35.42305,7.83751636854785,2.9196810647507503,0
7.90847,6.8787,46.74845,4065.12878,0.05217,35.42914,7.815846709840204,2.9116085467191164,0
7.9528,6.91055,46.75517,4060.75201,0.07414,35.43525,7.791655381115469,2.9025966402569865,0
7.99708,6.94237,46.76419,4056.38394,0.09547,35.44139,7.765048703614518,2.8926849528240637,0
8.04131,6.97417,46.77542,4052.02607,0.11612,35.44756,7.736139764343226,2.881915612305537,0
8.08549,7.00594,46.7888,4047.67983,0.13602,35.45375,7.705047709028957,2.8703330036197614,0
8.12962,7.03768,46.80422,4043.3466,0.15514,35.45997,7.671897018995652,2.8579834993352047,0
8.1737,7.0694,46.82161,4039.0277,0.17344,35.46621,7.636816779410243,2.844915187072985,0
8.21772,7.10109,46.84087,4034.72439,0.19086,35.47249,7.599939946132729,2.831177596389232,0
8.2617,7.13276,46.8619,4030.43786,0.20738,35.47879,7.5614026180522185,2.816821427701115,0
8.30563,7.1644,46.8846,4026.16922,0.22296,35.48511,7.521343321354677,2.8018982856577486,0
8.3495,7.19602,46.90886,4021.91954,0.23756,35.49147,7.47990231168771,2.7864604191782156,0
8.39333,7.22761,46.93459,4017.6898,0.25116,35.49785,7.4372208995900415,2.7705604701562945,0
8.4371,7.25918,46.96166,4013.4809,0.26373,35.50426,7.393440804008031,2.754251232628353,0
8.48083,7.29072,46.98997,4009.29369,0.27524,35.51069,7.348703538030352,2.7375854239433575,0
8.52451,7.32224,47.0194,4005.12894,0.28568,35.51716,7.303149830382365,2.7206154692542968,0
8.56814,7.35373,47.04984,4000.98732,0.29504,35.52365,7.2569190855056975,2.703393300383633,0
8.61172,7.3852,47.08117,3996.86947,0.30328,35.53017,7.210148884463424,2.685970169897333,0
8.65525,7.41664,47.11327,3992.77593,0.31041,35.53672,7.1629745282523,2.668396480976676,0
8.69873,7.44807,47.14602,3988.70717,0.31641,35.54329,7.115528624523363,2.6507216334607877,0
8.74217,7.47946,47.17931,3984.66359,0.32128,35.5499,7.0679407181188365,2.6329938862119264,0
8.78556,7.51084,47.21302,3980.64552,0.32501,35.55653,7.0203369653613965,2.615260235779662,0
8.8289,7.54219,47.24701,3976.65323,0.32761,35.56319,6.972839851516548,2.5975663111481775,0
8.87219,7.57352,47.28119,3972.68691,0.32907,35.56988,6.925567950434692,2.5799562841966113,0
8.91543,7.60483,47.31542,3968.74668,0.32941,35.5766,6.878635725006572,2.562472795363467,0
8.95863,7.63611,47.3496,3964.83262,0.32862,35.58335,6.8321533667529,2.545156893889522,0
9.00179,7.66737,47.38361,3960.94472,0.32672,35.59013,6.7862266725639095,2.528047991900072,0
9.04489,7.69861,47.41732,3957.08293,0.32372,35.59694,6.740956956439845,2.51118383152594,0
9.08795,7.72983,47.45064,3953.24713,0.31964,35.60378,6.69644099383512,2.4946004641702113,0
9.13097,7.76103,47.48345,3949.43714,0.31448,35.61065,6.65277099616495,2.478332241011281,0
9.17394,7.79221,47.51564,3945.65274,0.30827,35.61754,6.610034612875792,2.46241181377415,0
9.21687,7.82336,47.5471,3941.89365,0.30103,35.62447,6.568314958480841,2.44687014480186,0
9.25975,7.8545,47.57774,3938.15952,0.29278,35.63143,6.527690661919968,2.431736525443362,0
9.30258,7.88561,47.60744,3934.44999,0.28354,35.63842,6.488235935645504,2.4170386017897965,0
9.34537,7.91671,47.63611,3930.76463,0.27334,35.64544,6.450020661868113,2.402802406803351,0
9.38812,7.94778,47.66367,3927.10296,0.26221,35.65249,6.413110493463969,2.3890523979078275,0
9.43083,7.97884,47.69,3923.46447,0.25017,35.65957,6.377566967129947,2.3758114991419417,0
9.47349,8.00987,47.71503,3919.84862,0.23725,35.66668,6.343447626483435,2.3631011470172347,0
9.51611,8.04089,47.73866,3916.25479,0.22349,35.67383,6.310806152919766,2.3509413392659093,0
9.55868,8.07188,47.76083,3912.68237,0.20891,35.681,6.279692502142331,2.339350685701893,0
9.60121,8.10286,47.78144,3909.13069,0.19355,35.68821,6.2501530444313795,2.328346460474654,0
9.6437,8.13382,47.80042,3905.59906,0.17745,35.69545,6.2222307068481255,2.317944655043975,0
9.68615,8.16476,47.8177,3902.08673,0.16063,35.70271,6.195965115678899,2.308160031244141,0
9.72856,8.19568,47.83322,3898.59295,0.14315,35.71002,6.171392737600562,2.299006173871782,0
9.77092,8.22658,47.8469,3895.11694,0.12502,35.71735,6.148547018135372,2.2904955422639426,0
9.81324,8.25747,47.8587,3891.65787,0.1063,35.72471,6.127458516120047,2.282639520391351,0
9.85552,8.28834,47.86854,3888.2149,0.08701,35.73211,6.1081550330275505,2.2754484650341884,0
9.89776,8.31919,47.87639,3884.78716,0.0672,35.73954,6.090661736093628,2.268931751649959,0
9.93996,8.35002,47.8822,3881.37376,0.04691,35.747,6.075001274327078,2.2630978175903707,0
9.98212,8.38083,47.88591,3877.9738,0.02618,35.75449,6.061193886567559,2.2579542023557133,0
10.02424,8.41163,47.8875,3874.58633,0.00505,35.76201,6.049257500876918,2.2535075846207397,0
10.06631,8.44241,47.88693,3871.2104,-0.01643,35.76957,6.039207824628033,2.2497638157951343,0
10.10835,8.47317,47.88416,3867.84503,-0.03824,35.77716,6.031058424760795,2.246727949920973,0
10.15034,8.50392,47.87918,3864.48925,-0.06032,35.78478,6.024820797735565,2.24440426973223,0
10.1923,8.53465,47.87195,3861.14204,-0.08264,35.79243,6.020504428813027,2.2427963087380833,0
10.23421,8.56536,47.86246,3857.80238,-0.10514,35.80011,6.018116840363545,2.241906869219418,0
10.27608,8.59605,47.85071,3854.46923,-0.12779,35.80783,6.017663628949429,2.2417380360429506,0
10.31792,8.62673,47.83667,3851.14155,-0.15054,35.81558,6.019148491043077,2.2422911862419066,0
10.35971,8.65739,47.82035,3847.81826,-0.17336,35.82336,6.022573237249462,2.2435669943142815,0
10.40146,8.68804,47.80175,3844.4983,-0.19619,35.83117,6.027937795020077,2.2455654332338453,0
10.44318,8.71867,47.78086,3841.18058,-0.219,35.83902,6.035240199860888,2.2482857711748827,0
10.48485,8.74928,47.7577,3837.86401,-0.24173,35.84689,6.044476575133463,2.2517265639875763,0
10.52648,8.77987,47.73229,3834.54749,-0.26436,35.8548,6.0556411005941015,2.2558856434780084,0
10.56808,8.81045,47.70463,3831.2299,-0.28682,35.86274,6.068725969879725,2.2607601015705345,0
10.60963,8.84102,47.67476,3827.91013,-0.30909,35.87071,6.083721337234267,2.2663462704619626,0
10.65114,8.87156,47.64269,3824.58706,-0.33111,35.87872,6.100615253804393,2.2726396988900315,0
10.69261,8.90209,47.60846,3821.25957,-0.35285,35.88675,6.119393593950855,2.279635124682454,0
10.73405,8.93261,47.57211,3817.92653,-0.37426,35.89482,6.140039972058024,2.287326443766277,0
10.77544,8.9631,47.53366,3814.58681,-0.39531,35.90291,6.162535650432006,2.295706675857506,0
